READ,HSOw4LO05Ws,1201639675.424053,14
READ,1bhOE7xcZyg,1201639757.082532,965
READ,3TKi92CP-vc,1201639761.780669,2
READ,1bhOE7xcZyg,1201639762.360242,965
READ,1bhOE7xcZyg,1201639764.058698,965
READ,AH47iuMTuC8,1201639767.580914,160
READ,Bdc_CWMnPtM,1201639770.341679,2
READ,opsMFXnyWag,1201639770.920774,90
READ,CTVvok4S_9E,1201639775.289088,284
READ,dTzrSDlaJis,1201639775.633347,332
READ,T37s-FvSB8g,1201639780.057613,2
READ,ASG6r9rhwcE,1201639782.549154,2
READ,dsYKVoFkvHQ,1201639783.009357,219
READ,3mbGMHM0tHw,1201639783.269919,2
READ,ia20nvQJszg,1201639783.528280,261
READ,0WJSuf2MBqg,1201639786.381034,2
READ,mbzLzcYlIsU,1201639786.424648,299
READ,1bhOE7xcZyg,1201639788.104903,965
READ,XqJsaqykhLo,1201639790.093920,0
READ,dsYKVoFkvHQ,1201639793.233142,219
READ,N3FbX-17iOY,1201639793.445973,207
READ,eTFymQA_IsM,1201639794.098671,62
READ,d71o6-7o_dI,1201639802.128061,605
READ,9jvWYrFHQo8,1201639803.740422,619
READ,3dKCyzEYv8w,1201639804.603927,64
READ,oMaVI0yLIAg,1201639804.608687,5
READ,4d_yy_qFwy0,1201639804.988496,542
READ,Ni9TBUNZn9Q,1201639805.474353,1011
READ,vjTVAZDBUJ0,1201639805.653790,325
READ,WKOWeNPiL4s,1201639807.136939,2
READ,6g1CzN35kn0,1201639808.408214,11
READ,LgSHVf_DftU,1201639811.135911,11
READ,1eTvHe-B_pQ,1201639811.482183,11
READ,9n_glSXmVDw,1201639811.905157,951
READ,i2V_ZT-nyOs,1201639814.209437,2
READ,ZlHcYjA3lWQ,1201639817.650614,132
READ,mCAWmHzVYKI,1201639819.681549,44
READ,Ebl3li9ilc0,1201639819.874904,14
READ,X1yE88MunD0,1201639823.311602,891
READ,ffdK9MllNcs,1201639823.466931,47
READ,4yIyumRRJkA,1201639823.499457,2
READ,HmPVDEMpGpE,1201639823.943123,2
READ,sKx0Yu5nfMw,1201639825.534122,3
READ,UuexWks5GRE,1201639829.350589,2
READ,qCf9gRAPrdg,1201639829.633059,2
READ,Sol2zeR_h60,1201639834.598741,11
READ,5qHtkWyNvgU,1201639835.265688,26
READ,ZlHcYjA3lWQ,1201639835.488844,132
READ,cCrovnNGdSg,1201639835.880928,412
READ,HmPVDEMpGpE,1201639839.633420,2
READ,ZluTqu9i5j0,1201639840.139375,130
READ,M8u8CqElOpw,1201639841.023003,9
READ,Pvu8qToyUs8,1201639841.389555,363
READ,iRNmnxlYm3Q,1201639842.357488,150
READ,WQ3jQtBnUeg,1201639842.848270,569
READ,PGV6lBx_03Q,1201639844.305727,11
READ,M8sGdqCSg30,1201639844.335255,2
READ,rmiQgwKIUoo,1201639845.860227,57
READ,ZxxPLDZnqwA,1201639847.482557,11
READ,fcrihNZuMO8,1201639847.820486,205
READ,32mIigPzS0Y,1201639847.836249,11
READ,A5blyHruu1c,1201639848.948224,100
READ,xFZYPeP8k2E,1201639850.307313,2
READ,HfOk4ao5FIU,1201639850.366526,2
READ,J-gy9ABiTV0,1201639850.822255,168
READ,GZYOKyIZeFg,1201639852.108867,5
READ,Q5im0Ssyyus,1201639861.829385,2
READ,nlk9Sj4Ns2k,1201639866.076718,3
READ,XL9_y6t5QxI,1201639866.117571,103
READ,Bdc_CWMnPtM,1201639866.332936,2
READ,o8VqXQEF-Dc,1201639866.847084,3
READ,9OrXDiKe_c0,1201639871.159481,2
READ,B9Pa1aLipJo,1201639871.617953,202
READ,lSKzmVb1yCs,1201639873.764636,2
READ,cCrovnNGdSg,1201639877.133546,412
READ,TO5gC-4_BHw,1201639881.080060,730
READ,rmiQgwKIUoo,1201639881.355947,57
READ,Pz48UIoASCk,1201639884.795980,1228
READ,LuHGThfbQog,1201639889.030091,14
READ,oYk6bbtJytk,1201639892.693793,2
READ,QTF3PHSiGP8,1201639895.055577,38
READ,bW8VTL09tzM,1201639895.106147,871
READ,G95zw2w2t8s,1201639895.866322,46
READ,NW1rCm23Vic,1201639896.832358,175
READ,koGpEq46fys,1201639897.677087,3
READ,jYXUm1-dxH8,1201639898.923208,3801
READ,w5yn3QeUtp8,1201639900.371544,3350
READ,hg2n039txnk,1201639903.673901,190
READ,AFgKkTKqh9Y,1201639904.734069,381
READ,VJBPlwrmTEQ,1201639905.715613,2
READ,MfWkzBEtGck,1201639906.648957,2
READ,C4tovErZM_g,1201639906.918137,31
READ,8VWepNJT2Vk,1201639909.358479,899
READ,i4RZNsdgWvQ,1201639912.755746,127
READ,9OrXDiKe_c0,1201639916.913186,2
READ,w5yn3QeUtp8,1201639917.924348,3350
READ,qCf9gRAPrdg,1201639918.195776,2
READ,lyp5we2ySDo,1201639919.279850,476
READ,w5yn3QeUtp8,1201639920.183043,3350
READ,T8QrLB8xj5c,1201639920.809958,14
READ,qCf9gRAPrdg,1201639920.947521,2
READ,0h-A3UtguZw,1201639929.092742,194
READ,NQt8kmHBvVw,1201639932.725527,577
READ,5pRcKd_VKU4,1201639932.762093,57
READ,nlk9Sj4Ns2k,1201639934.018138,3
READ,QSgHZhu4vz0,1201639936.161172,85
READ,bpOekCEAjGE,1201639939.754362,40
READ,dE-mxVxFXLg,1201639943.347661,408
READ,Hsv5NrlZmGw,1201639943.404900,7
READ,9ZmvtHOQ4bg,1201639944.591234,2
READ,cCrovnNGdSg,1201639950.078446,412
READ,XiZ23ffcGSI,1201639950.526376,11
READ,9ETfNxDVlpQ,1201639951.517223,11
READ,81g9DvuTctA,1201639951.688901,434
READ,pSpggftW-Yg,1201639952.602796,2
READ,IaqOWOfPZ-U,1201639953.586249,3
READ,EpuEInMISyw,1201639956.697436,304
READ,iKBS7YPNLPU,1201639958.339373,183
READ,Xx-oNUud0Qk,1201639961.835056,2
READ,-h-HjtKursM,1201639966.675561,51
READ,5QSQQDLQ9Qo,1201639966.844542,226
READ,1eTvHe-B_pQ,1201639967.903925,11
READ,Ebl3li9ilc0,1201639969.061113,14
READ,81g9DvuTctA,1201639970.026194,434
READ,2FichOENg3Y,1201639972.409112,321
READ,_OBlgSz8sSM,1201639972.652200,1183
READ,wAFIsS9EELk,1201639974.217300,183
READ,Mi8nKOtjMBQ,1201639975.752412,2
READ,kf3d8f1LJT4,1201639978.991252,216
READ,tqqBunpTsAY,1201639980.381780,11
READ,XiZ23ffcGSI,1201639985.821525,11
READ,u9RxU_5_c8M,1201639991.443054,311
READ,JaVTtS72X8A,1201639997.970073,1046
READ,WHrydCosxYY,1201639999.398974,388
READ,6Xvl5NIYRMo,1201640001.472448,173
READ,n4jVt4_tOcM,1201640003.662004,1125
READ,nxtC9LTg1bA,1201640005.257021,2
READ,iuCU2bcnsdA,1201640010.201426,58
READ,O2vJUadjdmo,1201640010.937307,29
READ,3zSogu2qKnY,1201640013.775450,2
READ,Uf4_hWu4nr8,1201640014.610371,46
READ,9M_thvQKWgo,1201640014.766933,71
READ,J5YO5_PkagA,1201640015.878113,532
READ,Ofn8-3SWd8M,1201640019.158425,22
READ,z9PQ16KVntQ,1201640019.352118,3
READ,O6AUcW4mwJo,1201640020.313646,3
READ,gnYYK07lGFc,1201640021.181051,3
READ,AzPj-tu53NM,1201640023.838156,2
READ,HBniEQgUNe4,1201640027.400793,65
READ,x2kuwFULOI0,1201640027.863675,3
READ,7HAK-PieeHg,1201640032.161150,957
READ,42FD3OGfqzc,1201640032.304495,324
READ,M4P5nMLKklk,1201640032.344530,3
READ,N6voHeEa3ig,1201640033.186256,228
READ,W0e_o3a7MZc,1201640033.498420,2
READ,OqumjziPTzk,1201640034.474236,886
READ,Eh0eM4tAISQ,1201640034.591207,1146
READ,XqZgQL5H2fI,1201640039.345603,121
READ,pW1BWdU5XQ4,1201640040.749013,2
READ,bggFBWn7YoI,1201640043.953274,85
READ,S7amYNaPTRI,1201640043.989328,11
READ,XiZ23ffcGSI,1201640045.553221,11
READ,f7Jw2F77GCI,1201640045.617372,3
READ,v2_rTfwk1cs,1201640047.594334,90
READ,pXnR8y89TvI,1201640047.713716,90
READ,tCpApON4l3U,1201640056.482282,9
READ,NuLJlAkgKbk,1201640060.781458,272
READ,eFxgbos_soE,1201640062.688473,35
READ,W124d0LEvUI,1201640065.366702,1470
READ,NuLJlAkgKbk,1201640067.363542,272
READ,CNYOea9eRPo,1201640068.858064,203
READ,NuLJlAkgKbk,1201640069.600539,272
READ,W124d0LEvUI,1201640071.165280,1470
READ,NuLJlAkgKbk,1201640071.353940,272
READ,VEL5ABddZ0k,1201640072.197365,2
READ,1cFoACePr4w,1201640080.023066,2
READ,N3FbX-17iOY,1201640082.858920,207
READ,EZksYghPtjs,1201640084.194948,249
READ,6Xvl5NIYRMo,1201640087.473697,173
READ,tK336KrKxD8,1201640091.957516,14
READ,UNYY_1rJJeE,1201640094.189519,3
READ,mahKdpbXH3A,1201640094.656001,10
READ,XqJsaqykhLo,1201640095.264849,0
READ,HtCXj56bfus,1201640095.946514,52
READ,9NRS_8zN1-E,1201640096.675429,468
READ,D_CGeVrqOro,1201640098.282078,232
READ,M4P5nMLKklk,1201640099.686255,3
READ,qE5TzUV52XY,1201640100.444766,134
READ,UPUiGp9kwic,1201640100.950036,3
READ,DC8nDdPM_Qk,1201640102.001907,2
READ,keN17yEUIDo,1201640102.389369,615
READ,pkbmvfRo3HI,1201640102.723732,2
READ,H-S9kOJT9lQ,1201640106.893231,3
READ,crg7vOecJFQ,1201640109.436656,604
READ,ZSS5dEeMX64,1201640114.188578,657
READ,9d8foInwBvM,1201640115.003417,2
READ,z2wnp9JzK1c,1201640118.174875,3
READ,z2wnp9JzK1c,1201640122.914090,3
READ,1eTvHe-B_pQ,1201640124.367436,11
READ,z2wnp9JzK1c,1201640124.399357,3
READ,beHSh19FJo8,1201640125.737563,9
READ,z2wnp9JzK1c,1201640125.763075,3
READ,8BmCwK-v9V0,1201640126.061866,480
READ,quo3nSAwio0,1201640127.309898,202
READ,b5uYCMK5OPw,1201640127.407787,2
READ,kwje1llvzJ4,1201640128.888191,2
READ,DaE4K5fN8Ek,1201640130.969144,10
READ,mahKdpbXH3A,1201640136.156918,10
READ,z2wnp9JzK1c,1201640137.518230,3
READ,z2wnp9JzK1c,1201640139.625072,3
READ,z2wnp9JzK1c,1201640142.703704,3
READ,a6e7EsprUZ0,1201640143.242383,281
READ,_zToC02umkQ,1201640144.095276,3
READ,z2wnp9JzK1c,1201640144.607251,3
READ,z2wnp9JzK1c,1201640146.065729,3
READ,pqqeVVIHCVM,1201640146.809319,205
READ,YSu3_l3UyJo,1201640147.837726,2
READ,za6370QijVw,1201640148.345914,3
READ,NX1fqMGQWtI,1201640151.082886,2
READ,za6370QijVw,1201640153.798632,3
READ,eJLG85gn0bc,1201640154.424038,2
READ,H4NZtAn1sQI,1201640156.656581,2
READ,ElPVma-Wyd0,1201640157.826071,11
READ,IlZpE8LQp-c,1201640158.555725,3
READ,tCpApON4l3U,1201640159.432325,9
READ,gK_Qw33M7jc,1201640162.384026,184
READ,unRvopGXCgA,1201640162.810820,3
READ,LneYA0yOGbs,1201640163.620400,300
READ,zprECNPt6DQ,1201640164.466407,57
READ,uuFU1dojwFU,1201640168.008197,434
READ,otJl_59wiY0,1201640168.408773,145
READ,xeHayzWIhbk,1201640170.185326,2
READ,_K3yzGDLQ-U,1201640170.257282,298
